window_start,Site,nutrient,concentration
1986-05-20,BQ1,NH4-N,NA
1986-05-20,BQ1,NO3-N,113.66666666666667
1986-05-20,BQ1,K,0.8166666666666667
1986-05-20,BQ1,Ca,3.9366666666666665
1986-05-20,BQ1,Mg,3.1066666666666665
1986-07-22,BQ1,NH4-N,NA
1986-07-22,BQ1,NO3-N,NA
1986-07-22,BQ1,K,NA
1986-07-22,BQ1,Ca,NA
1986-07-22,BQ1,Mg,NA
1986-09-23,BQ1,NH4-N,25.4
1986-09-23,BQ1,NO3-N,126.66666666666667
1986-09-23,BQ1,K,0.656
1986-09-23,BQ1,Ca,4.368
1986-09-23,BQ1,Mg,2.69
1986-11-25,BQ1,NH4-N,21.75
1986-11-25,BQ1,NO3-N,154.33333333333334
1986-11-25,BQ1,K,0.6744444444444444
1986-11-25,BQ1,Ca,3.78
1986-11-25,BQ1,Mg,2.5877777777777777
1987-01-27,BQ1,NH4-N,18.4
1987-01-27,BQ1,NO3-N,132.22222222222223
1987-01-27,BQ1,K,0.7244444444444444
1987-01-27,BQ1,Ca,4.166666666666667
1987-01-27,BQ1,Mg,2.977777777777778
1987-03-31,BQ1,NH4-N,41.66666666666667
1987-03-31,BQ1,NO3-N,146.44444444444446
1987-03-31,BQ1,K,0.8466666666666667
1987-03-31,BQ1,Ca,3.7566666666666664
1987-03-31,BQ1,Mg,2.4299999999999997
1987-06-02,BQ1,NH4-N,73.77777777777777
1987-06-02,BQ1,NO3-N,157.66666666666666
1987-06-02,BQ1,K,0.8077777777777778
1987-06-02,BQ1,Ca,3.893333333333333
1987-06-02,BQ1,Mg,2.522222222222222
1987-08-04,BQ1,NH4-N,44.53846153846154
1987-08-04,BQ1,NO3-N,182.30769230769232
1987-08-04,BQ1,K,0.77
1987-08-04,BQ1,Ca,3.3666666666666667
1987-08-04,BQ1,Mg,2.1716666666666664
1987-10-06,BQ1,NH4-N,16.25
1987-10-06,BQ1,NO3-N,163.77777777777777
1987-10-06,BQ1,K,0.737
1987-10-06,BQ1,Ca,3.726
1987-10-06,BQ1,Mg,2.349
1987-12-08,BQ1,NH4-N,24
1987-12-08,BQ1,NO3-N,162.33333333333334
1987-12-08,BQ1,K,0.7873333333333333
1987-12-08,BQ1,Ca,3.2173333333333334
1987-12-08,BQ1,Mg,2.0086666666666666
1988-02-09,BQ1,NH4-N,20.6875
1988-02-09,BQ1,NO3-N,206.9375
1988-02-09,BQ1,K,0.90125
1988-02-09,BQ1,Ca,3.10375
1988-02-09,BQ1,Mg,1.99375
1988-04-12,BQ1,NH4-N,64.2
1988-04-12,BQ1,NO3-N,151.7
1988-04-12,BQ1,K,0.8766666666666667
1988-04-12,BQ1,Ca,3.19
1988-04-12,BQ1,Mg,2.251
1988-06-14,BQ1,NH4-N,113
1988-06-14,BQ1,NO3-N,NA
1988-06-14,BQ1,K,0.7655555555555555
1988-06-14,BQ1,Ca,3.2977777777777777
1988-06-14,BQ1,Mg,2.267
1988-08-16,BQ1,NH4-N,37.2
1988-08-16,BQ1,NO3-N,93.83333333333334
1988-08-16,BQ1,K,0.7553846153846154
1988-08-16,BQ1,Ca,2.8038461538461537
1988-08-16,BQ1,Mg,2.046666666666667
1988-10-18,BQ1,NH4-N,46
1988-10-18,BQ1,NO3-N,141.77777777777777
1988-10-18,BQ1,K,0.89375
1988-10-18,BQ1,Ca,4.1625
1988-10-18,BQ1,Mg,2.61875
1988-12-20,BQ1,NH4-N,NA
1988-12-20,BQ1,NO3-N,153
1988-12-20,BQ1,K,0.8588888888888889
1988-12-20,BQ1,Ca,4.32875
1988-12-20,BQ1,Mg,2.502222222222222
1989-02-21,BQ1,NH4-N,NA
1989-02-21,BQ1,NO3-N,130.88888888888889
1989-02-21,BQ1,K,0.8366666666666667
1989-02-21,BQ1,Ca,4.14
1989-02-21,BQ1,Mg,2.73
1989-04-25,BQ1,NH4-N,NA
1989-04-25,BQ1,NO3-N,141
1989-04-25,BQ1,K,0.9377777777777778
1989-04-25,BQ1,Ca,4.794444444444444
1989-04-25,BQ1,Mg,2.997777777777778
1989-06-27,BQ1,NH4-N,NA
1989-06-27,BQ1,NO3-N,116.625
1989-06-27,BQ1,K,0.9444444444444444
1989-06-27,BQ1,Ca,3.991111111111111
1989-06-27,BQ1,Mg,2.5477777777777777
1989-08-29,BQ1,NH4-N,NA
1989-08-29,BQ1,NO3-N,81.6
1989-08-29,BQ1,K,1.049090909090909
1989-08-29,BQ1,Ca,4.265
1989-08-29,BQ1,Mg,2.781
1989-10-31,BQ1,NH4-N,NA
1989-10-31,BQ1,NO3-N,324.1
1989-10-31,BQ1,K,1.232
1989-10-31,BQ1,Ca,5.118
1989-10-31,BQ1,Mg,3.237
1990-01-02,BQ1,NH4-N,NA
1990-01-02,BQ1,NO3-N,118
1990-01-02,BQ1,K,1.268888888888889
1990-01-02,BQ1,Ca,5.847777777777778
1990-01-02,BQ1,Mg,3.3233333333333333
1990-03-06,BQ1,NH4-N,NA
1990-03-06,BQ1,NO3-N,480.6363636363637
1990-03-06,BQ1,K,1.4038461538461537
1990-03-06,BQ1,Ca,4.291538461538462
1990-03-06,BQ1,Mg,2.5215384615384617
1990-05-08,BQ1,NH4-N,NA
1990-05-08,BQ1,NO3-N,208.1
1990-05-08,BQ1,K,1.238
1990-05-08,BQ1,Ca,5.267
1990-05-08,BQ1,Mg,3.11
1990-07-10,BQ1,NH4-N,NA
1990-07-10,BQ1,NO3-N,117.44444444444443
1990-07-10,BQ1,K,1.0133333333333334
1990-07-10,BQ1,Ca,5.6433333333333335
1990-07-10,BQ1,Mg,3.2533333333333334
1990-09-11,BQ1,NH4-N,NA
1990-09-11,BQ1,NO3-N,97.83333333333334
1990-09-11,BQ1,K,0.9322222222222222
1990-09-11,BQ1,Ca,5.207777777777778
1990-09-11,BQ1,Mg,2.997777777777778
1990-11-13,BQ1,NH4-N,NA
1990-11-13,BQ1,NO3-N,132.0909090909091
1990-11-13,BQ1,K,1.0736363636363637
1990-11-13,BQ1,Ca,4.642727272727273
1990-11-13,BQ1,Mg,2.7827272727272727
1991-01-15,BQ1,NH4-N,NA
1991-01-15,BQ1,NO3-N,87.85714285714286
1991-01-15,BQ1,K,0.8144444444444444
1991-01-15,BQ1,Ca,5.7844444444444445
1991-01-15,BQ1,Mg,3.223333333333333
1991-03-19,BQ1,NH4-N,NA
1991-03-19,BQ1,NO3-N,59.777777777777786
1991-03-19,BQ1,K,0.8333333333333334
1991-03-19,BQ1,Ca,5.421111111111111
1991-03-19,BQ1,Mg,2.9811111111111113
1991-05-21,BQ1,NH4-N,NA
1991-05-21,BQ1,NO3-N,54.75
1991-05-21,BQ1,K,0.914
1991-05-21,BQ1,Ca,5.314
1991-05-21,BQ1,Mg,3.0629999999999997
1991-07-23,BQ1,NH4-N,NA
1991-07-23,BQ1,NO3-N,40.77777777777778
1991-07-23,BQ1,K,1.012
1991-07-23,BQ1,Ca,6.164
1991-07-23,BQ1,Mg,3.801
1991-09-24,BQ1,NH4-N,NA
1991-09-24,BQ1,NO3-N,80.5
1991-09-24,BQ1,K,1.1225
1991-09-24,BQ1,Ca,4.400833333333333
1991-09-24,BQ1,Mg,2.8266666666666667
1991-11-26,BQ1,NH4-N,NA
1991-11-26,BQ1,NO3-N,188.375
1991-11-26,BQ1,K,1.1477777777777778
1991-11-26,BQ1,Ca,5.041111111111111
1991-11-26,BQ1,Mg,3.0455555555555556
1992-01-28,BQ1,NH4-N,NA
1992-01-28,BQ1,NO3-N,151
1992-01-28,BQ1,K,1.1520000000000001
1992-01-28,BQ1,Ca,5.376
1992-01-28,BQ1,Mg,3.128
1992-03-31,BQ1,NH4-N,NA
1992-03-31,BQ1,NO3-N,63.125
1992-03-31,BQ1,K,1.051111111111111
1992-03-31,BQ1,Ca,5.618888888888889
1992-03-31,BQ1,Mg,3.3244444444444445
1992-06-02,BQ1,NH4-N,NA
1992-06-02,BQ1,NO3-N,58.25
1992-06-02,BQ1,K,1.1566666666666667
1992-06-02,BQ1,Ca,4.7877777777777775
1992-06-02,BQ1,Mg,2.8633333333333333
1992-08-04,BQ1,NH4-N,NA
1992-08-04,BQ1,NO3-N,102.66666666666666
1992-08-04,BQ1,K,1.1144444444444446
1992-08-04,BQ1,Ca,5.694444444444445
1992-08-04,BQ1,Mg,3.236666666666667
1992-10-06,BQ1,NH4-N,NA
1992-10-06,BQ1,NO3-N,76.28571428571429
1992-10-06,BQ1,K,0.9877777777777778
1992-10-06,BQ1,Ca,5.384444444444444
1992-10-06,BQ1,Mg,3.002222222222222
1992-12-08,BQ1,NH4-N,NA
1992-12-08,BQ1,NO3-N,20.5
1992-12-08,BQ1,K,1.0822222222222222
1992-12-08,BQ1,Ca,4.845555555555555
1992-12-08,BQ1,Mg,2.897777777777778
1993-02-09,BQ1,NH4-N,NA
1993-02-09,BQ1,NO3-N,125.33333333333333
1993-02-09,BQ1,K,1.12
1993-02-09,BQ1,Ca,5.72
1993-02-09,BQ1,Mg,3.4466666666666668
1993-04-13,BQ1,NH4-N,NA
1993-04-13,BQ1,NO3-N,69.11111111111111
1993-04-13,BQ1,K,1.22
